node,baseMultiaddr
0x19a78417065c3054edca3c4b9c02f127a6c2a0ec,/ip4/195.201.220.66/tcp/9091
0x7a29701f4d08c0ff747afd102dda0c8b794febda,/ip4/128.140.41.168/tcp/9091
0x5a487f5d3a565f5b39996c0f1c99bf098e285b97,/ip4/62.178.11.207/tcp/9091
0xbecbd5d974c64b61ca1a8b7748b4465396695d2a,/ip4/31.165.78.146/tcp/9091
0xf2069d0e1e23f7e131881f151e75c62e4b9b7eee,/ip4/149.51.231.19/tcp/9091
0x51b9ad10fe0233f720547bef315c574b72cdd6d6,/ip4/65.109.231.175/tcp/9091
0x77755d8df095c8c5862e92ab56e6558e1d87ea4d,/ip4/173.89.48.148/tcp/9091
0x991bb29b20b3ee9d17207f6625a0f2f92e06521a,/ip4/178.254.34.116/tcp/9091
0xe6b8131b1d774a7d70b3784a5aaea27f1123be42,/ip4/95.216.197.139/tcp/9091
0xf67ace21e7d857044faedc80a4755a9451d9a828,/ip4/161.97.74.114/tcp/9091
0xf564623c5fdf3a1572d476c68d957884131f040b,/ip4/65.21.0.86/tcp/9091
0x2e0f4f92fc2573e00a44239f8622ab8521c4270b,/ip4/212.3.195.43/tcp/9091
0xd7543cac0e26e7daee61bb3b533e3053311d159c,/ip4/95.214.54.198/tcp/9091
0x1e35442c8fa7bbb14f32f5ae933e2abe1821a303,/ip4/88.217.142.242/tcp/49123
0x0b719bc3ce484321b7ded5fe5a6523ca400a815b,/ip4/198.135.52.170/tcp/9091
0xcbe8726c80cc0d7751b9545dd5a4b5b0e53e383d,/ip4/35.242.216.67/tcp/9003
0xe3cedfad9cb6d5e9e12b5e6bb38a94550d736336,/ip4/217.70.251.189/tcp/9091
0xd1bca44ab117531223a0c47679b6fa022a49118f,/ip4/192.30.242.241/tcp/9091
0x403376f6e95ea5f6653453366e4ff303c00afb64,/ip4/192.30.242.78/tcp/9091
0x6255cf0d5e00dad58fee6a5980cb78fa8d99e083,/ip4/144.91.76.171/tcp/9091
0xd96b5a1ec10dda1a9a01c25ada7239073bbc78d4,/ip4/85.206.96.234/tcp/9091
0xa6f569bcf3a0c772afeb22c49879d4b44462b21a,/ip4/5.75.174.232/tcp/9091
0x43f0eddf90e11c23a1bc5ce352231fdc51e7be84,/ip4/88.217.142.242/tcp/49117
0x05752909aa70f62d4f703a0a08fe70394eb98429,/ip4/116.202.21.233/tcp/9091
0xbd6e77e2b40e1613047479b0c7c720041d4e3f8f,/ip4/199.175.98.54/tcp/9091
0x4a5d82c5aabe7b8203a28bc01ebd846041bf4924,/dns4/d03a89bde3d03d1a.dyndns.dappnode.io/tcp/9091
0xbe53e22c26295ef6d7e8aac4910297e4a3a8a1d6,/ip4/176.134.201.1/tcp/9091
0xbfe6f8aff7b8d0e00817e097fa99160f823d9102,/ip4/45.85.249.21/tcp/9091
0xfd73f817fdab136204604bd86714c7d87b7797a9,/ip4/195.3.223.103/tcp/9091
0x8de95cdc3291152381f24226422ed9c08beec146,/ip4/162.19.155.111/tcp/9091
0x95eedb1f87e26209a320e15541bc62748296c97f,/ip4/95.136.123.103/tcp/9091
0xde3d4457cc7d728ef359ac25f82eaab3a76e3d86,/ip4/70.34.201.87/tcp/9491
0xf0b941b52f4318ca30710658af0797cf648737e6,/ip4/31.220.75.77/tcp/9091
0xf9c495246386227620a1acf3cf276cd299f69c56,/ip4/88.217.142.242/tcp/49122
0xbba6eec0fa9f359b85258ab258323d36b4476464,/ip4/116.203.112.201/tcp/9091
0x5adb3ae9e9b6a218ce7a2cfa5109299ead462868,/ip4/49.12.239.153/tcp/9091
0xdfbc6abcb5cdd284cd69825f802ee39e43526c80,/ip4/128.140.118.60/tcp/9091
0x60cbd9add55f7d5744e03844033962c337f490fd,/ip4/199.175.98.49/tcp/9091
0xb816eefe4558b19e09331f3d7626e50ace74cfbd,/ip4/79.184.0.21/tcp/9091
0xbb3862ad511601a4922f95a11662b635011b1c49,/ip4/217.24.161.110/tcp/9091
0x30d72ba3c1167472594edff754de851b1fda4cff,/ip4/198.135.52.84/tcp/9091
0x196af47928f8a63f6af2684ce75a602dea6aa4c2,/ip4/167.71.74.89/tcp/9091
0x220b2eb80e0a9465ca1b15d54515bc59c83df77b,/ip4/194.163.176.88/tcp/9091
0xf12f22d676dd11026741d2a6ca224aea467c5c5d,/ip4/95.217.67.130/tcp/9091
0xe733080041c91e842cbf0d37fa83c3095fc8abfc,/ip4/76.198.31.139/tcp/9091
0x86df5dadc0f2f1e3a2576947609a5bed04584b15,/ip4/65.108.82.247/tcp/9091
0x4c9f898cc051643ed85d72e6504f02d27ee57786,/ip4/107.155.80.50/tcp/9091
0xbfcd193c225eb915bba45359c04afdf565c33ebd,/ip4/173.249.49.172/tcp/9091
0xedfb6909f63566f0f7f8f165cc9fb5647f845823,/ip4/66.176.23.90/tcp/9091
0xcb055aa39957bde53da6c0617ce9dadfc4b15a6d,/ip4/50.21.189.151/tcp/9091
0xc81f35aec161a2f79019a64bcc406ca15979f60a,/ip4/94.131.13.229/tcp/9091
0xbbfbebe1bd63008e4ddd20b6a6ee5890e6f8bdb8,/ip4/198.135.52.167/tcp/9091
0xc6c8e3a887e7db7413e53050e9617002831042e3,/ip4/35.242.216.67/tcp/9007
0x049a7c790c98c9f613f0f4afd164783f22a6971a,/ip4/138.197.182.20/tcp/9091
0xfa73af5609d354acd0f6e51f77c04d228c370813,/ip4/85.14.247.158/tcp/9091
0xe2f097ad8a1c6535804e6e2ae255e911f4423a77,/ip4/135.181.192.189/tcp/9091
0x5a407aa0028568a75a67791fc05362cf77f5b837,/ip4/49.13.10.109/tcp/9091
0xdcf5cb3bd285dea6827bf84709698fa55a8a209d,/ip4/176.240.245.115/tcp/9091
0x3a7a2961b054b6f96b2e65bcebc1a9b6338dba97,
0xf64b1912fc6bbed9ddc7e9b345c60ef7ed6d2d74,/ip4/135.181.39.223/tcp/9091
0xa4642c066c1f8927db9d34abab599af784a2cff0,/ip4/35.242.216.67/tcp/9002
0x1dc2675248bd49c8c668916f3417d26bdb928246,/ip4/199.175.98.48/tcp/9091
0x0961bf83e22c059ef1b39360293583e28b864d8d,/ip4/88.217.142.242/tcp/49104
0x6280f1e0631c670101f69caaf987b67eaed61f28,/ip4/109.205.180.172/tcp/9091
0xc12f264800f10e3e582a63a822fcb0b8bcc6c105,/ip4/74.212.157.219/tcp/9091
0x3d8ae376362a43f3507c24022d45774acacc267e,/ip4/199.175.98.41/tcp/9091
0xe1eb9d6d382ce2b087bc2cda49f27a7e3d4f7fb2,/ip4/88.217.142.242/tcp/49101
0x01ba49fca111693b9145b280fde6e6cc95e0a65d,/ip4/88.235.222.34/tcp/9091
0x27183ad128a67523971f2e92b59c898ab531d002,/ip4/88.217.142.242/tcp/9091
0x7e5e53560e1b8f08118e76d53f38e022aee25862,/ip4/93.115.20.132/tcp/9091
0xf5f996288f87bc5f8e04aa1e7b820060c2455964,/ip4/23.118.238.41/tcp/9091
0x545e12b509e51de550a2270f3f8d56c1ca7b4ea6,/ip4/88.222.35.45/tcp/9291
0x5370162922c63b855034e4018ea6680304a57174,/ip4/49.13.15.119/tcp/9091
0x062f660242de6575a15250f54ed6b09411011e78,/ip4/218.39.177.69/tcp/9091
0xfa30695e20f740b4fa6d0bf7fbaa4789d35968d8,/ip4/65.109.172.50/tcp/9091
0x351143876be01501958353dafd99e589207c5752,/ip4/88.217.142.242/tcp/49114
0x3f2a09166433a408f518ee34b5b2ad78f114e484,/ip4/34.90.222.57/tcp/9091
0x440cfaa1503680a15b14408e3b8f717d2a021a63,/ip4/95.216.208.130/tcp/9091
0x5de19f89b714dadc894c74cbfece031b9a1fc26d,/ip4/85.208.48.246/tcp/9091
0xa42cb517152d2bd0ac90a0d6dcb362e7a3153728,/ip4/65.108.206.118/tcp/9091
0x4ca9d39fc1242b806c765c742d601eb32f691f5b,/ip4/198.135.53.195/tcp/9091
0x9925b9846e6e289e1c7f8a0554bf6900757491ec,/ip4/84.46.240.49/tcp/9091
0x8badb2ad73190ca451895c6cd4aef8b6ae80312e,/ip4/192.30.242.79/tcp/9091
0x018bdca130e4c7d865b1533c5ac65b0d90cff647,/ip4/38.242.159.161/tcp/9091
0xc440419850680e4f9ad8089b011915b24bdc0759,/dns4/srv20.mikr.us/tcp/40177
0x5dcef6405bff60655b5e87f00796ebc2e9ae8fa4,/ip4/192.30.242.242/tcp/9091
0x9dd151e63d044680b5329d297cd1c98c4c1921a5,/ip4/65.109.6.71/tcp/9091
0x21acdd90f62cbe76273b6d1412b6a45db20ee7af,/ip4/95.165.4.70/tcp/9491
0x9261303fe593ca3ced719213a9adfcd13162c9cf,/ip4/45.67.217.213/tcp/9091
0xe4236f6f97ab2369c6ed04f89b7ef807227ab4e1,/ip4/35.128.12.162/tcp/9091
0xb0b9963ba09791e96f17a845155a6ca52092c042,/ip4/199.175.98.57/tcp/9091
0x41fae03656dca4d7525145d9869c197e2659cb57,/ip4/185.117.0.58/tcp/9091
0xda3e2c345d72d15240364214b242849754c9a43e,/ip4/31.29.226.204/tcp/9091
0x67f3d385a85adb61170a30dac8d70bb575db93bf,/ip4/199.175.98.64/tcp/9091
0x0b9bffee5a2f699aaa59515f5925e97d9848b614,/ip4/46.196.73.150/tcp/9091
0x0d462629f8d10c9d14ed9bbe367305c3595cccee,/ip4/46.186.82.36/tcp/9091
0xb0117ae711702b8207bd9efc839c16c0901de471,/ip4/185.111.172.183/tcp/9091
0x403308106fb1a7191ab04491f7399275d82551e8,/ip4/91.211.83.212/tcp/9091
0x81ae34b6a73af4369ab5f1aad81b13c94530a684,/ip4/65.109.104.118/tcp/9091
0xfe28d6e8280c827b0b079e4bd4bf746a396d8d4e,/ip4/199.175.98.51/tcp/9091
0xd63ba96f96f7cbf2b2f1c57da41948df533e860d,/ip4/198.135.52.81/tcp/9091
0x4bfec6ddff86eb7dedb649da7450a3a6d5820035,/ip4/95.217.3.24/tcp/9491
0x978f09ab34906f64cf2d8736d72b89c93a2df5e0,/ip4/5.75.147.51/tcp/9091
0xf9a9ac6a67f755cebcaceaa047e271490be0c640,/ip4/178.254.33.145/tcp/9091
0xbc48f168c42162921e8411f2dfeab98730907882,/ip4/51.91.10.12/tcp/9091
0x557eae5968432ca52244f16bd364308777b49c63,/ip4/199.175.98.31/tcp/9091
0x3d3bbd36a0e38d48b2e64503f25079234f5427a2,/ip4/104.230.246.236/tcp/9091
0xe9c730aa8e026f5b8de9bcacf0d0eb155d52609b,/ip4/162.19.155.111/tcp/9092
